ABA	12.505681	-69.943097	14	A574	L	ADRIV	12.394942	-69.603381	03000	Y	DATOR	12.409750	-70.270361	03000	Y
ABA	12.505681	-69.943097	14	G442	L	TETUM	12.801806	-70.311944	03000	Y	ALCOT	11.911417	-69.260361	03000	Y
ABA	12.505681	-69.943097	14	G885	L					N	APNUT	12.760528	-69.680583	03000	Y
ABA	12.505681	-69.943097	14	R568	L					N	ITSEL	12.283333	-70.000000	05000	Y
ABA	12.505681	-69.943097	14	UG885	H					N	ONDAS	13.041361	-69.390250	19500	Y
ABA	12.505681	-69.943097	14	UL220	H	PJG	12.197069	-69.011894	19500	Y	DATOR	12.409750	-70.270361	19500	Y
ABA	12.505681	-69.943097	14	UL332	H	GADGO	13.000556	-70.558611	19500	Y	ALCOT	11.911417	-69.260361	19500	Y
ABA	12.505681	-69.943097	14	UL450	B	ATUBI	14.116111	-69.992500	19500	Y	NOREX	12.311417	-70.062028	19500	Y
ABA	12.505681	-69.943097	14	UL468	H	FARBS	13.587778	-70.316389	29000	Y					N
ABA	12.505681	-69.943097	14	UL674	H	DENSU	12.945556	-70.581389	29000	Y					N
ABA	-34.952222	117.810556	14	V408	L	ARUMI	-34.594306	117.382222	0	N					N
ABA	-34.952222	117.810556	14	W185	L	PAVSO	-34.464917	117.657944	03800	Y					N
ABA	-34.952222	117.810556	14	W486	L					N	HOODY	-34.415000	119.576667	03300	Y
ABABA	56.641286	3.325492	14	KY961	L	EPEKO	56.546667	3.211667	00500	Y	IGOWO	56.787994	3.485653	00500	N
ABABO	53.922222	39.478056	14	T559	B	RAMUT	53.760000	39.773333	13500	N	OLOPI	54.233333	38.898056	13500	Y
ABADE	-7.175278	139.584167	14	Z687	B	MKE	-8.522608	140.417111	02000	Y	MARBU	-6.541944	139.331389	02000	Y
ABADI	40.755278	18.641667	14	P92	L	KAPPO	40.610833	18.002778	09500	Y	PAPIZ	40.891667	18.951667	09500	Y
ABAGA	73.277778	124.843056	14	N989	H	RANEN	73.901389	125.486944	26500	Y	NESPA	71.900833	123.568056	26500	Y
ABAGA	73.277778	124.843056	14	T659	H	ROREP	73.549444	124.044167	27500	Y	GIKSI	71.695833	128.901944	27500	Y
ABAGI	53.676944	42.676667	14	B105	B					N	PELNE	53.136389	43.064167	13500	Y
ABAGI	53.676944	42.676667	14	M56	B	DEDUG	53.838611	41.752500	10500	N	PISAR	53.483889	43.872222	06500	Y
ABAGI	53.676944	42.676667	14	T347	B	BITKO	54.700556	42.678333	09500	Y					N
ABAGI	53.676944	42.676667	14	T662	B					N	LADOD	53.837222	44.121111	06500	Y
ABAGI	53.676944	42.676667	14	T662	L	IDGEK	53.919444	42.411944	06500	N					N
ABAGI	53.676944	42.676667	14	T794	B					N	IPLEG	53.752222	44.427222	06500	Y
ABAGI	53.676944	42.676667	14	W21	B					N	PELNE	53.136389	43.064167	13500	Y
ABAGO	56.291944	144.238333	14	A218	L	OKRUS	58.765278	147.701944	09500	Y	MOLUT	55.211944	142.928333	07500	Y
ABAGO	56.291944	144.238333	14	G902	H	RITMI	57.665278	146.831667	26500	Y	LADES	55.999444	142.950000	27500	Y
ABAGO	56.291944	144.238333	14	L160	H	OKRUS	58.765278	147.701944	26500	Y	MOLUT	55.211944	142.928333	26500	Y
ABAKO	37.183889	16.666111	14	M600	L	ERNAM	36.858333	16.162500	10500	Y					N
