11MPA	-51.848558	 -58.164039	15
MPA06	-51.847339	 -58.297403	15
IMP47	-51.844622	 -58.315783	15
04MPA	-51.843972	 -58.570692	15
YP423	-51.841833	 -58.838333	15
58MPA	-51.837075	 -58.302542	15
PNT07	-51.835969	 -72.354300	15
TOPEM	-51.834722	 -72.662778	15
1RW05	-51.833844	 -58.471881	15
01MPA	-51.833069	 -58.479539	15
1RW28	-51.828253	 -58.412889	15
15MPA	-51.827456	 -58.417017	15
MA28 	-51.826961	 -58.420669	15
IMP6 	-51.826708	 -58.422139	15
R146N	-51.824775	 -69.180869	15
D2MPA	-51.815444	 -58.494733	15
1RW10	-51.813389	 -58.500958	15
MPA16	-51.811483	 -58.419072	15
MPA02	-51.811164	 -58.506450	15
R201N	-51.807631	 -69.531539	15
1RW23	-51.807036	 -58.409594	15
YP433	-51.801689	 -58.056669	15
D5MPA	-51.801236	 -58.586042	15
MPA03	-51.800456	 -58.385958	15
4RW10	-51.800253	 -58.578672	15
YP418	-51.798667	 -58.586833	15
NT118	-51.798047	 -72.271664	15
R274M	-51.796489	 -58.808592	15
D65MP	-51.794497	 -58.624831	15
65MPA	-51.792978	 -58.624111	15
MPA05	-51.791758	 -58.580661	15
MPA65	-51.791569	 -58.622192	15
NT259	-51.790103	 -72.539983	15
ASKAS	-51.788333	 -66.001111	15
3RW23	-51.788022	 -58.365525	15
YP419	-51.787000	 -58.655333	15
D103 	-51.779619	 -58.723992	15
MPA72	-51.777497	 -58.635044	15
NT110	-51.776883	 -72.747094	15
96R10	-51.775597	 -58.723622	15
MPA62	-51.775217	 -58.310325	15
AKNIV	-51.769467	 -72.552589	15
NT207	-51.767544	 -72.359383	15
NT086	-51.765067	 -72.355933	15
YP420	-51.761667	 -58.802333	15
NT998	-51.760028	 -72.433608	15
NT220	-51.754031	 -73.039111	15
71R23	-51.748986	 -58.275300	15
MP105	-51.741222	 -58.208828	15
TIRGA	-51.740278	 -67.025833	15
YP421	-51.739333	 -58.931500	15
MPA13	-51.739131	 -58.780719	15
NT361	-51.736089	 -72.643275	15
KOMPO	-51.723772	 -72.416333	15
R058M	-51.721419	 -58.149889	15
DAKAN	-51.717872	 -72.395100	15
NT997	-51.712233	 -72.457286	15
NT996	-51.712147	 -72.457439	15
EGAPA	-51.709664	 -72.645819	15
ESPEV	-51.702561	 -69.641814	15
ATAKA	-51.700228	 -72.475958	15
DFO11	-51.696361	 -58.077828	15
BRAVO	-51.694031	 -58.950769	15
10DFO	-51.693608	 -57.503600	15
SUNKO	-51.691667	 -68.084444	15
DFO65	-51.691631	 -57.957506	15
55DFO	-51.689600	 -57.624044	15
DFO35	-51.688408	 -57.877294	15
DFO05	-51.685131	 -57.797106	15
05DFO	-51.685008	 -57.757742	15
NT995	-51.684875	 -72.604572	15
PNT37	-51.681600	 -72.497442	15
YP422	-51.681500	 -58.766333	15
NT008	-51.681200	 -72.499072	15
WC041	-51.678367	 -71.730011	15
70DFO	-51.677650	 -57.970156	15
DFO60	-51.677306	 -57.610778	15
DE10 	-51.674611	 -72.517686	15
LIXIM	-51.669906	 -68.962217	15
08DFO	-51.662761	 -57.994269	15
DFO70	-51.661322	 -57.588450	15
11DFO	-51.654775	 -58.073528	15
NT015	-51.653900	 -72.576161	15
DFO10	-51.651639	 -57.509686	15
NT285	-51.651175	 -72.368794	15
ATARU	-51.650000	 -72.300000	15
WC016	-51.634775	 -71.471728	15
ANSIB	-51.622564	 -69.604894	15
VULAR	-51.620222	 -69.553786	15
14GAL	-51.618536	 -69.704353	15
WG791	-51.616333	 -69.484325	15
ISOSO	-51.616111	 -69.465325	15
GAL09	-51.615983	 -69.570719	15
TEKUM	-51.615656	 -72.683886	15
GAL69	-51.614864	 -69.514600	15
GAL35	-51.612997	 -69.423742	15
GAL01	-51.611578	 -69.356942	15
EV07 	-51.611133	 -69.336350	15
BISOG	-51.610000	 -72.221389	15
EV25 	-51.607692	 -69.287056	15
GAL21	-51.606728	 -69.274503	15
ENTIS	-51.601403	 -69.159103	15
GL52 	-51.600872	 -69.148606	15
GL66 	-51.599019	 -69.111303	15
GAL61	-51.598514	 -69.168397	15
LIVIN	-51.596992	 -69.070717	15
GL84 	-51.596622	 -69.063347	15
ORODA	-51.594489	 -69.020728	15
GAL82	-51.594164	 -69.112708	15
GAL9 	-51.592500	 -69.091494	15
R074N	-51.591250	 -68.957372	15
NT450	-51.591178	 -72.687853	15
GAL10	-51.590414	 -69.064981	15
UMLOP	-51.587681	 -68.887558	15
NT346	-51.582975	 -72.490331	15
GAL14	-51.582011	 -68.958953	15
SUMTO	-51.546519	 -69.659189	15
NT473	-51.522583	 -72.658925	15
NT408	-51.514653	 -72.611506	15
SIPUR	-51.514092	 -68.984258	15
WC028	-51.506578	 -71.254500	15
R296N	-51.471769	 -69.629903	15
UGAPO	-51.446306	 -72.732133	15
NT640	-51.405425	 -73.072564	15
